sample	region	gene	qv1	qv2	qv_sum	qv_fraction	error_rate1	error_rate2	avg_error_rate	condition
HG01071	chr16_70701860_71230722	HYDIN	45.4721	35.8981	81.3702	1	2.83654710464977e-05	0.000257152055424209	0.000142758763235353	CMRGs-30X
HG01106	chr16_70701860_71230722	HYDIN	32.7779	32.673	65.4509	0.93	0.000527484861309636	0.000540380912079077	0.000533932886694357	CMRGs-30X
HG01109	chr16_70701860_71230722	HYDIN	31.9345	27.6468	59.5813	0.93	0.000640545522852986	0.00171917465528861	0.0011798600890708	CMRGs-30X
HG01175	chr16_70701860_71230722	HYDIN	38.6597	39.104	77.7637	0.99	0.000136153873098116	0.000122913617306017	0.000129533745202066	CMRGs-30X
HG01243	chr16_70701860_71230722	HYDIN	30.2992	28.9755	59.2747	0.88	0.000933426228426904	0.00126604750001503	0.00109973686422097	CMRGs-30X
HG01258	chr16_70701860_71230722	HYDIN	42.9195	39.171	82.0905	1	5.10563777418985e-05	0.000121031941511877	8.60441596268876e-05	CMRGs-30X
HG01361	chr16_70701860_71230722	HYDIN	29.1946	35.4722	64.6668	0.88	0.00120376025510236	0.000283648179149093	0.000743704217125725	CMRGs-30X
HG01891	chr16_70701860_71230722	HYDIN	49.4538	29.7137	79.1675	1	1.13401813561028e-05	0.00106814447885193	0.000539742330104018	CMRGs-30X
HG01928	chr16_70701860_71230722	HYDIN	40.4203	33.2226	73.6429	0.99	9.07757822323467e-05	0.000476145846215898	0.000283460814224122	CMRGs-30X
HG01952	chr16_70701860_71230722	HYDIN	37.8412	34.7788	72.62	1	0.000164391742928278	0.000332751483225424	0.000248571613076851	CMRGs-30X
HG01978	chr16_70701860_71230722	HYDIN	41.2157	36.37	77.5857	1	7.55840223470106e-05	0.000230674718872007	0.000153129370609509	CMRGs-30X
HG02055	chr16_70701860_71230722	HYDIN	33.6541	42.9224	76.5765	1	0.000431111889211361	5.10222962423757e-05	0.000241067092726868	CMRGs-30X
HG02080	chr16_70701860_71230722	HYDIN	39.7538	33.81	73.5638	1	0.000105832730224008	0.000415910610494022	0.000260871670359015	CMRGs-30X
HG02145	chr16_70701860_71230722	HYDIN	44.2261	32.198	76.4241	1	3.77911406129993e-05	0.000602837138922464	0.000320314139767732	CMRGs-30X
HG02148	chr16_70701860_71230722	HYDIN	38.6024	38.4247	77.0271	0.99	0.000137962164680611	0.000143724233111042	0.000140843198895826	CMRGs-30X
HG02257	chr16_70701860_71230722	HYDIN	38.7239	36.8587	75.5826	1	0.000134155968846389	0.000206124682644124	0.000170140325745256	CMRGs-30X
HG02572	chr16_70701860_71230722	HYDIN	39.1073	41.215	80.3223	0.97	0.000122820256489992	7.55962060338921e-05	9.92082312619421e-05	CMRGs-30X
HG02622	chr16_70701860_71230722	HYDIN	40.2469	39.9908	80.2377	1	9.44734988803715e-05	0.000100212062363405	9.73427806218884e-05	CMRGs-30X
HG02630	chr16_70701860_71230722	HYDIN	42.0505	32.5822	74.6327	1	6.23663029489276e-05	0.000551797844941599	0.000307082073945263	CMRGs-30X
HG02717	chr16_70701860_71230722	HYDIN	38.6033	31.5903	70.1936	1	0.000137933577376684	0.000693377907513223	0.000415655742444953	CMRGs-30X
HG02723	chr16_70701860_71230722	HYDIN	33.6756	29.7008	63.3764	1	0.000428982918964273	0.00107132194226564	0.000750152430614955	CMRGs-30X
HG02886	chr16_70701860_71230722	HYDIN	40.8014	28.7974	69.5988	0.97	8.31495685354877e-05	0.00131904617840253	0.000701097873469008	CMRGs-30X
HG03098	chr16_70701860_71230722	HYDIN	39.6016	41.9213	81.5229	0.97	0.000109607431304989	6.42495366496769e-05	8.6928483977333e-05	CMRGs-30X
HG03453	chr16_70701860_71230722	HYDIN	37.6935	47.694	85.3875	1	0.000170078728332502	1.70059148422409e-05	9.35423215873713e-05	CMRGs-30X
HG03486	chr16_70701860_71230722	HYDIN	38.5433	34.4253	72.9686	0.99	0.000139852424577611	0.000360969077864645	0.000250410751221128	CMRGs-30X
HG03516	chr16_70701860_71230722	HYDIN	36.4084	43.434	79.8424	0.99	0.000228644100422235	4.53523713451445e-05	0.00013699823588369	CMRGs-30X
HG03540	chr16_70701860_71230722	HYDIN	31.6022	41.6726	73.2748	0.99	0.000691480599740257	6.80361923028052e-05	0.000379758396021531	CMRGs-30X
HG03579	chr16_70701860_71230722	HYDIN	29.0417	29.9024	58.9441	0.96	0.00124689533465908	0.00102272765589781	0.00113481149527844	CMRGs-30X
NA18906	chr16_70701860_71230722	HYDIN	39.3095	40.7039	80.0134	1	0.000117233032729574	8.50374052360539e-05	0.000101135218982814	CMRGs-30X
NA20129	chr16_70701860_71230722	HYDIN	37.1501	38.9082	76.0583	1	0.000192748053080059	0.000128581947709572	0.000160665000394815	CMRGs-30X
HG00438	chr11_306851_330574	IFITM3	40.7782	38.9408	79.719	0.94	8.35949418481353e-05	0.000127620370174831	0.000105607656011483	CMRGs-30X
HG00621	chr11_306851_330574	IFITM3	36.0072	40.585	76.5922	0.96	0.000250772552234588	8.73976992590588e-05	0.000169085125746823	CMRGs-30X
HG00673	chr11_306851_330574	IFITM3	38.9533	34.8542	73.8075	1	0.000127253577332969	0.000327024281385157	0.000227138929359063	CMRGs-30X
HG00735	chr11_306851_330574	IFITM3	28.5705	8.38273	36.95323	0.45	0.0013897926162143	0.14511990987411	0.0732548512451622	CMRGs-30X
HG00741	chr11_306851_330574	IFITM3	46.6181	7.78617	54.40427	0.65	2.17866270957992e-05	0.16648802445364	0.0832549055403678	CMRGs-30X
HG01071	chr11_306851_330574	IFITM3	39.1139	32.4692	71.5831	1	0.000122633747544754	0.000566343603777381	0.000344488675661068	CMRGs-30X
HG01106	chr11_306851_330574	IFITM3	46.7223	22.2977	69.02	0.76	2.12701229348414e-05	0.00589155586350052	0.00295641299321768	CMRGs-30X
HG01109	chr11_306851_330574	IFITM3	46.7221	7.20026	53.92236	0.7	2.12711024827561e-05	0.190534664675629	0.0952779678890558	CMRGs-30X
HG01175	chr11_306851_330574	IFITM3	40.7017	36.6056	77.3073	0.93	8.50804934382617e-05	0.000218494243784731	0.000151787368611496	CMRGs-30X
HG01243	chr11_306851_330574	IFITM3	40.6946	7.6892	48.3838	0.79	8.52196998008887e-05	0.170247208646026	0.0851662141729134	CMRGs-30X
HG01258	chr11_306851_330574	IFITM3	43.712	46.7348	90.4468	1	4.25402462944068e-05	2.12089906185244e-05	3.18746184564656e-05	CMRGs-30X
HG01358	chr11_306851_330574	IFITM3	25.3726	35.4065	60.7791	0.8	0.00290228461736233	0.000287971825854045	0.00159512822160819	CMRGs-30X
HG01361	chr11_306851_330574	IFITM3	8.4594	46.6434	55.1028	0.77	0.142580456217559	2.16600771906503e-05	0.0713010581473749	CMRGs-30X
HG01891	chr11_306851_330574	IFITM3	46.6434	7.68657	54.32997	0.81	2.16600771906503e-05	0.170350338153541	0.085185999115366	CMRGs-30X
HG01928	chr11_306851_330574	IFITM3	40.585	36.6054	77.1904	1	8.73976992590588e-05	0.000218504306048195	0.000152951002653627	CMRGs-30X
HG01952	chr11_306851_330574	IFITM3	37.7679	40.7782	78.5461	0.98	0.000167189885365503	8.35949418481353e-05	0.000125392413606819	CMRGs-30X
HG01978	chr11_306851_330574	IFITM3	38.8241	35.1441	73.9682	1	0.000131096168829384	0.000305907412089077	0.00021850179045923	CMRGs-30X
HG02055	chr11_306851_330574	IFITM3	33.31	24.7478	58.0578	0.96	0.000466659380314288	0.00335135165157051	0.0019090055159424	CMRGs-30X
HG02080	chr11_306851_330574	IFITM3	23.7247	23.6607	47.3854	0.57	0.00424160282852857	0.00430457223392919	0.00427308753122888	CMRGs-30X
HG02145	chr11_306851_330574	IFITM3	31.2994	37.8365	69.1359	1	0.00074141266417053	0.000164569746438978	0.000452991205304754	CMRGs-30X
HG02148	chr11_306851_330574	IFITM3	46.7986	36.6054	83.404	1	2.08996974892022e-05	0.000218504306048195	0.000119702001768698	CMRGs-30X
HG02257	chr11_306851_330574	IFITM3	29.4752	24.5212	53.9964	0.77	0.00112844396956591	0.00353085595156789	0.0023296499605669	CMRGs-30X
HG02572	chr11_306851_330574	IFITM3	40.7019	46.7149	87.4168	1	8.507657542696e-05	2.13063962676834e-05	5.31914858473217e-05	CMRGs-30X
HG02622	chr11_306851_330574	IFITM3	16.4724	36.7226	53.195	0.88	0.0225299381767391	0.000212686536975477	0.0113713123568573	CMRGs-30X
HG02630	chr11_306851_330574	IFITM3	46.7225	24.7482	71.4707	0.9	2.12691434320355e-05	0.00335104299489072	0.00168615606916138	CMRGs-30X
HG02717	chr11_306851_330574	IFITM3	32.1456	20.4125	52.5581	0.81	0.000610154754826861	0.00909389635177316	0.00485202555330001	CMRGs-30X
HG02723	chr11_306851_330574	IFITM3	37.7023	43.8571	81.5594	1	0.000169734450995402	4.1142435788208e-05	0.000105438443391805	CMRGs-30X
HG02886	chr11_306851_330574	IFITM3	38.9518	21.7089	60.6607	1	0.000127297536752584	0.00674698896736188	0.00343714325205723	CMRGs-30X
HG03098	chr11_306851_330574	IFITM3	35.2612	27.5841	62.8453	0.83	0.000297769354861605	0.00174417476999055	0.00102097206242608	CMRGs-30X
HG03453	chr11_306851_330574	IFITM3	34.1815	43.6977	77.8792	0.92	0.000381812374741349	4.26805492831044e-05	0.000212246462012227	CMRGs-30X
HG03486	chr11_306851_330574	IFITM3	24.9164	14.7887	39.7051	0.65	0.00322373994082296	0.0331993820403264	0.0182115609905747	CMRGs-30X
HG03516	chr11_306851_330574	IFITM3	33.6977	40.7017	74.3994	1	0.000426805492831044	8.50804934382617e-05	0.000255942993134653	CMRGs-30X
HG03540	chr11_306851_330574	IFITM3	30.7126	14.3729	45.0855	0.68	0.000848672246503821	0.0365350747298448	0.0186918734881743	CMRGs-30X
HG03579	chr11_306851_330574	IFITM3	37.6771	7.67387	45.35097	0.8	0.000170722200541416	0.170849219843176	0.0855099710218585	CMRGs-30X
NA18906	chr11_306851_330574	IFITM3	34.5644	24.8038	59.3682	0.89	0.000349590804016902	0.00330841514319666	0.00182900297360678	CMRGs-30X
NA20129	chr11_306851_330574	IFITM3	31.4079	31.5528	62.9607	0.89	0.000723119378297377	0.00069939093661298	0.000711255157455179	CMRGs-30X
HG00438	chr19_39238867_39252540	IFNL3	44.3683	44.3683	88.7366	1	3.65737927855816e-05	3.65737927855816e-05	3.65737927855816e-05	CMRGs-30X
HG00621	chr19_39238867_39252540	IFNL3	44.3683	35.3387	79.707	0.96	3.65737927855816e-05	0.00029250278131192	0.000164538287048751	CMRGs-30X
HG00673	chr19_39238867_39252540	IFNL3	44.3683	41.3583	85.7266	0.97	3.65737927855816e-05	7.31425336197337e-05	5.48581632026577e-05	CMRGs-30X
HG00735	chr19_39238867_39252540	IFNL3	30.9473	44.3696	75.3169	0.96	0.000804025828065699	3.65628465688539e-05	0.000420294337317277	CMRGs-30X
HG00741	chr19_39238867_39252540	IFNL3	32.9099	38.3493	71.2592	0.97	0.000511693617585622	0.000146241286856647	0.000328967452221135	CMRGs-30X
HG01071	chr19_39238867_39252540	IFNL3	44.3683	44.3683	88.7366	1	3.65737927855816e-05	3.65737927855816e-05	3.65737927855816e-05	CMRGs-30X
HG01106	chr19_39238867_39252540	IFNL3	44.3689	36.5877	80.9566	0.91	3.65687402784007e-05	0.000219396654050307	0.000127982697164354	CMRGs-30X
HG01109	chr19_39238867_39252540	IFNL3	32.329	36.5874	68.9164	0.99	0.000584924752541186	0.000219411809957719	0.000402168281249453	CMRGs-30X
HG01175	chr19_39238867_39252540	IFNL3	38.349	44.3677	82.7167	1	0.000146251389195779	3.65788459908404e-05	9.14151175933096e-05	CMRGs-30X
HG01243	chr19_39238867_39252540	IFNL3	36.5874	44.3683	80.9557	0.94	0.000219411809957719	3.65737927855816e-05	0.00012799280137165	CMRGs-30X
HG01258	chr19_39238867_39252540	IFNL3	36.5874	44.3677	80.9551	0.94	0.000219411809957719	3.65788459908404e-05	0.00012799532797428	CMRGs-30X
HG01358	chr19_39238867_39252540	IFNL3	44.3689	44.3677	88.7366	1	3.65687402784007e-05	3.65788459908404e-05	3.65737931346205e-05	CMRGs-30X
HG01361	chr19_39238867_39252540	IFNL3	44.3683	38.349	82.7173	1	3.65737927855816e-05	0.000146251389195779	9.14125909906802e-05	CMRGs-30X
HG01891	chr19_39238867_39252540	IFNL3	44.3683	41.3548	85.7231	0.97	3.65737927855816e-05	7.32015032961662e-05	5.48876480408739e-05	CMRGs-30X
HG01928	chr19_39238867_39252540	IFNL3	35.3387	35.3393	70.678	0.89	0.00029250278131192	0.000292462373350633	0.000292482577331277	CMRGs-30X
HG01952	chr19_39238867_39252540	IFNL3	36.5884	44.3689	80.9573	0.91	0.000219361294337484	3.65687402784007e-05	0.000127965017307943	CMRGs-30X
HG01978	chr19_39238867_39252540	IFNL3	36.5877	35.339	71.9267	0.87	0.000219396654050307	0.000292482576633456	0.000255939615341881	CMRGs-30X
HG02055	chr19_39238867_39252540	IFNL3	44.3642	38.3499	82.7141	0.96	3.66083369396166e-05	0.000146221084271799	9.14147106057078e-05	CMRGs-30X
HG02080	chr19_39238867_39252540	IFNL3	30.9473	44.3683	75.3156	0.97	0.000804025828065699	3.65737927855816e-05	0.00042029981042564	CMRGs-30X
HG02145	chr19_39238867_39252540	IFNL3	31.8124	44.3683	76.1807	1	0.00065880972292175	3.65737927855816e-05	0.000347691757853666	CMRGs-30X
HG02148	chr19_39238867_39252540	IFNL3	36.5877	44.3689	80.9566	0.94	0.000219396654050307	3.65687402784007e-05	0.000127982697164354	CMRGs-30X
HG02257	chr19_39238867_39252540	IFNL3	44.3642	32.9178	77.282	1	3.66083369396166e-05	0.000510763671351914	0.000273686004145765	CMRGs-30X
HG02572	chr19_39238867_39252540	IFNL3	41.3548	41.3548	82.7096	0.93	7.32015032961662e-05	7.32015032961662e-05	7.32015032961662e-05	CMRGs-30X
HG02622	chr19_39238867_39252540	IFNL3	44.3651	32.9086	77.2737	1	3.66007512826592e-05	0.000511846808864799	0.000274223780073729	CMRGs-30X
HG02630	chr19_39238867_39252540	IFNL3	44.3642	41.3574	85.7216	1	3.66083369396166e-05	7.31576927120909e-05	5.48830148258538e-05	CMRGs-30X
HG02717	chr19_39238867_39252540	IFNL3	44.3642	44.3696	88.7338	1	3.66083369396166e-05	3.65628465688539e-05	3.65855917542353e-05	CMRGs-30X
HG02723	chr19_39238867_39252540	IFNL3	41.3551	38.3483	79.7034	1	7.31964468901019e-05	0.000146274964034437	0.000109735705462269	CMRGs-30X
HG02886	chr19_39238867_39252540	IFNL3	44.3651	33.5771	77.9422	1	3.66007512826592e-05	0.000438823624296676	0.000237712187789668	CMRGs-30X
HG03098	chr19_39238867_39252540	IFNL3	38.3477	30.5662	68.9139	0.99	0.000146295174063564	0.00087776851718147	0.000512031845622517	CMRGs-30X
HG03453	chr19_39238867_39252540	IFNL3	38.3502	44.368	82.7182	1	0.000146210984025985	3.65763193009452e-05	9.13936516634652e-05	CMRGs-30X
HG03486	chr19_39238867_39252540	IFNL3	38.3436	38.3566	76.7002	1	0.000146433350682463	0.000145995678239476	0.000146214514460969	CMRGs-30X
HG03516	chr19_39238867_39252540	IFNL3	44.3651	44.3683	88.7334	1	3.66007512826592e-05	3.65737927855816e-05	3.65872720341204e-05	CMRGs-30X
HG03540	chr19_39238867_39252540	IFNL3	41.3548	32.3379	73.6927	1	7.32015032961662e-05	0.000583727293213404	0.000328464398254785	CMRGs-30X
HG03579	chr19_39238867_39252540	IFNL3	44.3651	44.3683	88.7334	1	3.66007512826592e-05	3.65737927855816e-05	3.65872720341204e-05	CMRGs-30X
NA18906	chr19_39238867_39252540	IFNL3	30.5684	32.3284	62.8968	0.98	0.000877323979710756	0.000585005568464567	0.000731164774087662	CMRGs-30X
NA20129	chr19_39238867_39252540	IFNL3	44.3642	36.5874	80.9516	1	3.66083369396166e-05	0.000219411809957719	0.000128010073448668	CMRGs-30X
HG00438	chr8_42271270_42337451	IKBKB	40.9278	41.2167	82.1445	0.99	8.07644053855758e-05	7.55666204862383e-05	7.8165512935907e-05	CMRGs-30X
HG00621	chr8_42271270_42337451	IKBKB	41.8969	41.2168	83.1137	0.93	6.4611526243715e-05	7.5564880520532e-05	7.00882033821235e-05	CMRGs-30X
HG00673	chr8_42271270_42337451	IKBKB	43.4351	42.1857	85.6208	0.97	4.53408857534053e-05	6.04546902043559e-05	5.28977879788806e-05	CMRGs-30X
HG00735	chr8_42271270_42337451	IKBKB	38.8867	44.9068	83.7935	0.98	0.000129220078341083	3.23087384070584e-05	8.07644083740707e-05	CMRGs-30X
HG00741	chr8_42271270_42337451	IKBKB	40.136	40.9278	81.0638	0.99	9.6917008394729e-05	8.07644053855758e-05	8.88407068901524e-05	CMRGs-30X
HG01071	chr8_42271270_42337451	IKBKB	39.4665	41.8967	81.3632	0.94	0.000113070678959366	6.46145017829721e-05	8.88425903711692e-05	CMRGs-30X
HG01106	chr8_42271270_42337451	IKBKB	44.9073	34.9843	79.8916	0.96	3.23050189402007e-05	0.000317373016747681	0.000174839017843941	CMRGs-30X
HG01109	chr8_42271270_42337451	IKBKB	39.4666	40.9278	80.3944	0.94	0.000113068075440742	8.07644053855758e-05	9.6916240413159e-05	CMRGs-30X
HG01175	chr8_42271270_42337451	IKBKB	37.1261	41.8968	79.0229	0.97	0.000193816166773951	6.4613013996215e-05	0.000129214590385083	CMRGs-30X
HG01243	chr8_42271270_42337451	IKBKB	35.6112	47.9173	83.5285	0.98	0.000274713498677624	1.61536251231858e-05	0.000145433561900405	CMRGs-30X
HG01258	chr8_42271270_42337451	IKBKB	38.8866	39.1523	78.0389	0.91	0.0001292230537776	0.000121554208566462	0.000125388631172031	CMRGs-30X
HG01358	chr8_42271270_42337451	IKBKB	39.4665	42.1858	81.6523	0.94	0.000113070678959366	6.04532981996973e-05	8.67619885795318e-05	CMRGs-30X
HG01361	chr8_42271270_42337451	IKBKB	41.8969	41.2178	83.1147	0.93	6.4611526243715e-05	7.55474830668207e-05	7.00795046552678e-05	CMRGs-30X
HG01891	chr8_42271270_42337451	IKBKB	51.2166	38.6644	89.881	1	7.55683604920093e-06	0.000136006605037423	7.17817205433117e-05	CMRGs-30X
HG01928	chr8_42271270_42337451	IKBKB	47.9172	41.8967	89.8139	1	1.61539970784321e-05	6.46145017829721e-05	4.03842494307021e-05	CMRGs-30X
HG01952	chr8_42271270_42337451	IKBKB	47.9173	40.9276	88.8449	0.9	1.61536251231858e-05	8.07681248095356e-05	4.84608749663607e-05	CMRGs-30X
HG01978	chr8_42271270_42337451	IKBKB	43.1463	38.8864	82.0327	0.87	4.84585037135524e-05	0.000129229004856173	8.88437542848629e-05	CMRGs-30X
HG02055	chr8_42271270_42337451	IKBKB	43.4359	40.928	84.3639	1	4.53325344228038e-05	8.07606861328977e-05	6.30466102778507e-05	CMRGs-30X
HG02080	chr8_42271270_42337451	IKBKB	41.8969	38.8868	80.7837	0.98	6.4611526243715e-05	0.000129217102973077	9.69143146083961e-05	CMRGs-30X
HG02145	chr8_42271270_42337451	IKBKB	40.136	43.4352	83.5712	0.91	9.6917008394729e-05	4.53398417529485e-05	7.11284250738387e-05	CMRGs-30X
HG02148	chr8_42271270_42337451	IKBKB	47.9172	44.907	92.8242	1	1.61539970784321e-05	3.23072505689288e-05	2.42306238236805e-05	CMRGs-30X
HG02257	chr8_42271270_42337451	IKBKB	48.2066	48.2063	96.4129	1	1.51126282698631e-05	1.51136722492976e-05	1.51131502595803e-05	CMRGs-30X
HG02572	chr8_42271270_42337451	IKBKB	40.9278	35.4189	76.3467	0.99	8.07644053855758e-05	0.000287150779794009	0.000183957592589792	CMRGs-30X
HG02622	chr8_42271270_42337451	IKBKB	40.4248	34.985	75.4098	0.98	9.06817724121822e-05	0.000317321866383614	0.000204001819397898	CMRGs-30X
HG02630	chr8_42271270_42337451	IKBKB	34.5893	42.1862	76.7755	1	0.000347592182168745	6.0447730501573e-05	0.000204019956335159	CMRGs-30X
HG02717	chr8_42271270_42337451	IKBKB	41.2172	42.1857	83.4029	1	7.55579210583343e-05	6.04546902043559e-05	6.80063056313451e-05	CMRGs-30X
HG02723	chr8_42271270_42337451	IKBKB	31.2904	43.4356	74.726	0.97	0.000742950706456504	4.53356659915027e-05	0.000394143186224004	CMRGs-30X
HG02886	chr8_42271270_42337451	IKBKB	45.1728	38.2071	83.3799	1	3.03892512651271e-05	0.000151108884643878	9.07490679545025e-05	CMRGs-30X
HG03098	chr8_42271270_42337451	IKBKB	42.1861	40.4258	82.6119	1	6.0449122378029e-05	9.06608945661889e-05	7.5555008472109e-05	CMRGs-30X
HG03453	chr8_42271270_42337451	IKBKB	51.217	45.196	96.413	1	7.55614007093094e-06	3.02273448003866e-05	1.88917424356587e-05	CMRGs-30X
HG03486	chr8_42271270_42337451	IKBKB	43.4359	40.4256	83.8615	1	4.53325344228038e-05	9.06650697508123e-05	6.7998802086808e-05	CMRGs-30X
HG03516	chr8_42271270_42337451	IKBKB	36.7782	51.2173	87.9955	0.99	0.000209981000171164	7.55561812929372e-06	0.000108768309150229	CMRGs-30X
HG03540	chr8_42271270_42337451	IKBKB	40.135	43.4353	83.5703	0.97	9.69393269300256e-05	4.53387977765304e-05	7.1139062353278e-05	CMRGs-30X
HG03579	chr8_42271270_42337451	IKBKB	43.4345	45.1959	88.6304	1	4.53471502609905e-05	3.02280408187351e-05	3.77875955398628e-05	CMRGs-30X
NA18906	chr8_42271270_42337451	IKBKB	38.8848	48.2062	87.091	0.95	0.000129276623352112	1.51140202584684e-05	7.21953218052903e-05	CMRGs-30X
NA20129	chr8_42271270_42337451	IKBKB	40.136	43.4354	83.5714	0.91	9.6917008394729e-05	4.53377538241504e-05	7.11273811094397e-05	CMRGs-30X
HG00438	chr8_81656823_81686331	IMPA1	44.7026	44.7057	89.4083	0.97	3.38641360298647e-05	3.38399723879201e-05	3.38520542088924e-05	CMRGs-30X
HG00621	chr8_81656823_81686331	IMPA1	44.7116	38.6822	83.3938	0.93	3.37940311457327e-05	0.000135450308963393	8.46221700545628e-05	CMRGs-30X
HG00673	chr8_81656823_81686331	IMPA1	28.5898	44.7116	73.3014	0.77	0.0013836300960253	3.37940311457327e-05	0.000708712063585515	CMRGs-30X
HG00735	chr8_81656823_81686331	IMPA1	28.4851	41.6923	70.1774	0.76	0.00141739207440845	6.77282727359318e-05	0.000742560173572189	CMRGs-30X
HG00741	chr8_81656823_81686331	IMPA1	23.7702	47.7029	71.4731	0.97	0.00419739653820521	1.69711002934176e-05	0.00210718381924931	CMRGs-30X
HG01071	chr8_81656823_81686331	IMPA1	28.3832	28.3829	56.7661	0.66	0.00145104205629659	0.00145114229419289	0.00145109217524474	CMRGs-30X
HG01106	chr8_81656823_81686331	IMPA1	47.7212	47.7126	95.4338	1	1.68997391007687e-05	1.69332375120905e-05	1.69164883064296e-05	CMRGs-30X
HG01109	chr8_81656823_81686331	IMPA1	29.4015	26.2077	55.6092	0.76	0.00114775713176018	0.00239458357912398	0.00177117035544208	CMRGs-30X
HG01175	chr8_81656823_81686331	IMPA1	41.6923	37.7226	79.4149	0.91	6.77282727359318e-05	0.000168942921465352	0.000118335597100642	CMRGs-30X
HG01243	chr8_81656823_81686331	IMPA1	28.5098	38.7093	67.2191	0.96	0.00140935370006386	0.000134607729859834	0.000771980714961846	CMRGs-30X
HG01258	chr8_81656823_81686331	IMPA1	28.4851	41.6923	70.1774	0.76	0.00141739207440845	6.77282727359318e-05	0.000742560173572189	CMRGs-30X
HG01358	chr8_81656823_81686331	IMPA1	44.7116	41.7013	86.4129	0.93	3.37940311457327e-05	6.7588062966268e-05	5.06910470560003e-05	CMRGs-30X
HG01361	chr8_81656823_81686331	IMPA1	41.6923	24.4229	66.1152	0.9	6.77282727359318e-05	0.00361168611877106	0.0018397071957535	CMRGs-30X
HG01891	chr8_81656823_81686331	IMPA1	47.6917	44.6929	92.3846	1	1.70149234676718e-05	3.39398563625189e-05	2.54773899150954e-05	CMRGs-30X
HG01928	chr8_81656823_81686331	IMPA1	28.5898	25.4296	54.0194	0.62	0.0013836300960253	0.00286444178259531	0.0021240359393103	CMRGs-30X
HG01952	chr8_81656823_81686331	IMPA1	41.7013	44.7116	86.4129	0.93	6.7588062966268e-05	3.37940311457327e-05	5.06910470560003e-05	CMRGs-30X
HG01978	chr8_81656823_81686331	IMPA1	44.7116	44.7057	89.4173	0.97	3.37940311457327e-05	3.38399723879201e-05	3.38170017668264e-05	CMRGs-30X
HG02055	chr8_81656823_81686331	IMPA1	47.7526	47.7154	95.468	1	1.67779926574358e-05	1.69223237689677e-05	1.68501582132017e-05	CMRGs-30X
HG02080	chr8_81656823_81686331	IMPA1	28.4853	39.9314	68.4167	0.77	0.00141732680259417	0.000101592114579515	0.000759459458586842	CMRGs-30X
HG02145	chr8_81656823_81686331	IMPA1	44.7114	39.9564	84.6678	0.97	3.37955874542146e-05	0.000101008983354865	6.740228540454e-05	CMRGs-30X
HG02148	chr8_81656823_81686331	IMPA1	28.5898	44.7116	73.3014	0.77	0.0013836300960253	3.37940311457327e-05	0.000708712063585515	CMRGs-30X
HG02257	chr8_81656823_81686331	IMPA1	23.7702	41.6953	65.4655	0.97	0.00419739653820521	6.76815038578371e-05	0.00213253902103152	CMRGs-30X
HG02572	chr8_81656823_81686331	IMPA1	28.1801	44.7116	72.8917	0.82	0.00152051251823483	3.37940311457327e-05	0.000777153274690281	CMRGs-30X
HG02622	chr8_81656823_81686331	IMPA1	36.9304	47.7159	84.6463	0.99	0.000202749597164134	1.69203756265914e-05	0.000109834986395363	CMRGs-30X
HG02630	chr8_81656823_81686331	IMPA1	47.7042	30.1466	77.8508	0.87	1.69660209913335e-05	0.000966807475993129	0.000491886748492231	CMRGs-30X
HG02717	chr8_81656823_81686331	IMPA1	47.7137	47.7526	95.4663	1	1.69289491309735e-05	1.67779926574358e-05	1.68534708942047e-05	CMRGs-30X
HG02723	chr8_81656823_81686331	IMPA1	22.8826	27.108	49.9906	0.74	0.00514920283867359	0.00194625615936124	0.00354772949901741	CMRGs-30X
HG02886	chr8_81656823_81686331	IMPA1	23.3567	44.6929	68.0496	0.82	0.00461668241351333	3.39398563625189e-05	0.00232531113493793	CMRGs-30X
HG03098	chr8_81656823_81686331	IMPA1	47.722	47.7014	95.4234	1	1.68966263404871e-05	1.69769629161805e-05	1.69367946283338e-05	CMRGs-30X
HG03453	chr8_81656823_81686331	IMPA1	47.7135	47.7217	95.4352	1	1.69297287558431e-05	1.68977935583989e-05	1.6913761157121e-05	CMRGs-30X
HG03486	chr8_81656823_81686331	IMPA1	28.2772	27.1855	55.4627	1	0.00148689396929448	0.00191183320400182	0.00169936358664815	CMRGs-30X
HG03516	chr8_81656823_81686331	IMPA1	44.7117	44.6929	89.4046	0.97	3.37932530183677e-05	3.39398563625189e-05	3.38665546904433e-05	CMRGs-30X
HG03540	chr8_81656823_81686331	IMPA1	28.5898	47.7137	76.3035	0.8	0.0013836300960253	1.69289491309735e-05	0.000700279522578135	CMRGs-30X
HG03579	chr8_81656823_81686331	IMPA1	47.7042	44.7056	92.4098	1	1.69660209913335e-05	3.38407515910507e-05	2.54033862911921e-05	CMRGs-30X
NA18906	chr8_81656823_81686331	IMPA1	47.7042	29.973	77.6772	1	1.69660209913335e-05	0.0010062363452806	0.000511601183135966	CMRGs-30X
NA20129	chr8_81656823_81686331	IMPA1	29.4015	44.6939	74.0954	0.83	0.00114775713176018	3.39320423214463e-05	0.000590844587040812	CMRGs-30X
HG00438	chr9_136428432_136439870	INPP5E	17.4592	40.6292	58.0884	0.74	0.0179506425943558	8.65127266430559e-05	0.00901857766049944	CMRGs-30X
HG00621	chr9_136428432_136439870	INPP5E	19.695	19.6601	39.3551	0.47	0.0107275364783553	0.0108140905064767	0.010770813492416	CMRGs-30X
